Date,Actual,Prediction
2020-02-29,25.0,0.0
2020-03-01,27.0,0.0
2020-03-02,30.0,3.1246732933387404e-10
2020-03-03,39.0,1.690154617546041e-07
2020-03-04,52.0,1.2109959917045676e-05
2020-03-05,55.0,0.0002896814375779582
2020-03-06,60.0,0.003496989431633488
2020-03-07,63.0,0.026430758109884708
2020-03-08,76.0,0.14188452806506882
2020-03-09,91.0,0.5863512269928993
2020-03-10,107.0,1.9706789021586157
2020-03-11,128.0,5.602052170845403
2020-03-12,128.0,13.867170139794304
2020-03-13,200.0,30.562595184990368
2020-03-14,250.0,61.025109558668966
2020-03-15,297.0,111.9379821913804
2020-03-16,377.0,190.7670569318674
2020-03-17,452.0,304.88608041311204
2020-03-18,568.0,460.5446069828564
2020-03-19,681.0,661.8817434741892
2020-03-20,791.0,910.1814656641158
2020-03-21,1071.0,1203.5077363956846
2020-03-22,1549.0,1536.772098262069
2020-03-23,1682.0,1902.1989958674692
2020-03-24,2044.0,2290.0862959386536
2020-03-25,2364.0,2689.7220750080137
2020-03-26,2810.0,3090.3150908637012
2020-03-27,3143.0,3481.818895404186
2020-03-28,3640.0,3855.567685608909
2020-03-29,3984.0,4204.684751942952
2020-03-30,4361.0,4524.262979209475
2020-03-31,4559.0,4811.345864914065
2020-04-01,4862.0,5064.754918930457
2020-04-02,5116.0,5284.815743049483
2020-04-03,5330.0,5473.032860048998
2020-04-04,5550.0,5631.755438826636
2020-04-05,5687.0,5763.86533069539
2020-04-06,5797.0,5872.507635498776
2020-04-07,5895.0,5960.873966527804
2020-04-08,6010.0,6032.040570579943
2020-04-09,6108.0,6088.857780745914
2020-04-10,6215.0,6133.88381395165
2020-04-11,6303.0,6169.354308467812
2020-04-12,6315.0,6197.178763564017
2020-04-13,6351.0,6218.955730468221
2020-04-14,6398.0,6235.999809292902
2020-04-15,,6249.374919109461
2020-04-16,,6259.929710481868
2020-04-17,,6268.332247911179
2020-04-18,,6275.102136869481
2020-04-19,,6280.639087470521
2020-04-20,,6285.247506343368
2020-04-21,,6289.157119120905
2020-04-22,,6292.5398843483235
