Date,Actual,Prediction
2020-02-25,0.0,0.0
2020-02-26,1.0,0.0
2020-02-27,1.0,1.7482358250362193e-12
2020-02-28,1.0,3.2422095533489726e-10
2020-02-29,2.0,1.2642710722232598e-08
2020-03-01,2.0,2.1240156566186292e-07
2020-03-02,2.0,2.105670132648076e-06
2020-03-03,2.0,1.4500685333772922e-05
2020-03-04,4.0,7.637384375154901e-05
2020-03-05,4.0,0.0003273324533636159
2020-03-06,13.0,0.0011911832185100978
2020-03-07,13.0,0.0037944611793704315
2020-03-08,20.0,0.010822698680781848
2020-03-09,25.0,0.028121917547012928
2020-03-10,31.0,0.06747578363762377
2020-03-11,38.0,0.151119801628313
2020-03-12,52.0,0.31867869043949115
2020-03-13,151.0,0.6373151723494297
2020-03-14,151.0,1.215940975025248
2020-03-15,162.0,2.224348738843644
2020-03-16,200.0,3.9180651808686706
2020-03-17,321.0,6.669594762713411
2020-03-18,372.0,11.006518615898113
2020-03-19,621.0,17.65664110943872
2020-03-20,793.0,27.600047484676974
2020-03-21,1021.0,42.12756659611623
2020-03-22,1546.0,62.90474274901062
2020-03-23,1924.0,92.0400317631768
2020-03-24,2247.0,132.15557105018692
2020-03-25,2554.0,186.45855294084402
2020-03-26,2985.0,258.81097358637186
2020-03-27,3417.0,353.7953517870507
2020-03-28,3904.0,476.77392404946505
2020-03-29,4256.0,633.9388302182322
2020-03-30,4579.0,832.3509094278227
2020-03-31,5717.0,1079.9649253846408
2020-04-01,6836.0,1385.639325313075
2020-04-02,8044.0,1759.1289967960367
2020-04-03,9056.0,2211.059906823593
2020-04-04,10360.0,2752.8849712047163
2020-04-05,11130.0,3396.8209925138467
2020-04-06,12161.0,4155.76700305751
2020-04-07,14034.0,5043.204838577709
2020-04-08,16170.0,6073.083232370605
2020-04-09,18092.0,7259.687143770972
2020-04-10,19638.0,8617.494407318523
2020-04-11,20727.0,10161.02209967139
2020-04-12,22192.0,11904.665263426052
2020-04-13,23430.0,13862.530796115303
2020-04-14,25262.0,16048.269407100277
2020-04-15,28320.0,18474.90856563813
2020-04-16,30425.0,21154.689313113227
2020-04-17,33682.0,24098.909696222465
2020-04-18,36658.0,27317.777402353182
2020-04-19,38654.0,30820.273951277508
2020-04-20,40743.0,34614.032527281066
2020-04-21,43079.0,38705.2312321455
2020-04-22,45757.0,43098.5032114194
2020-04-23,50036.0,47796.86476343848
2020-04-24,54043.0,52801.66219154891
2020-04-25,59324.0,58112.53781330332
2020-04-26,63100.0,63727.41520365756
2020-04-27,67446.0,69642.5034291111
2020-04-28,73235.0,75852.31973204936
2020-04-29,79685.0,82349.72985396003
2020-04-30,87187.0,89126.0049463686
2020-05-01,92202.0,96170.89381188138
2020-05-02,97100.0,103472.7090462658
2020-05-03,101826.0,111018.42551672984
2020-05-04,108620.0,118793.78951133105
2020-05-05,115455.0,126783.43682884444
2020-05-06,126611.0,134971.01804588566
2020-05-07,135773.0,143339.32919651817
2020-05-08,146894.0,151870.4461264313
2020-05-09,156061.0,160545.8608361792
2020-05-10,162699.0,169346.6182028196
2020-05-11,169594.0,178253.45156334375
2020-05-12,178214.0,187246.91575323817
2020-05-13,190137.0,196307.51631610756
2020-05-14,203165.0,205415.83373232133
2020-05-15,220291.0,214552.6416530959
2020-05-16,233511.0,223699.01826844146
2020-05-17,241080.0,232836.45008036637
2020-05-18,255368.0,241946.92749428595
2020-05-19,271885.0,251013.03177962077
2020-05-20,291579.0,260018.01308328827
2020-05-21,,268945.85930565454
2020-05-22,,277781.35576626135
2020-05-23,,286510.13569530554
2020-05-24,,295118.7216856888
2020-05-25,,303594.5583289782
2020-05-26,,311926.0363365777
2020-05-27,,320102.5085147124
2020-05-28,,328114.2980185893
2020-05-29,,335952.6993575848
2020-05-30,,343609.97265989677
2020-05-31,,351079.3317323051
2020-06-01,,358354.92646907456
2020-06-02,,365431.8201742762
2020-06-03,,372305.962364594
2020-06-04,,378974.1576157469
2020-06-05,,385434.03100574814
2020-06-06,,391683.9906930892
2020-06-07,,397723.18814830424
2020-06-08,,403551.47653397126
2020-06-09,,409169.3677017178
2020-06-10,,414577.98824587447
2020-06-11,,419779.0350226638
2020-06-12,,424774.7305118089
2020-06-13,,429567.778364669
2020-06-14,,434161.3194499857
2020-06-15,,438558.8886753951
2020-06-16,,442764.37283047126
2020-06-17,,446781.9696654514
2020-06-18,,450616.1483893002
2020-06-19,,454271.6117415511
2020-06-20,,457753.25976465316
2020-06-21,,461066.15537745855
2020-06-22,,464215.49182613194
2020-06-23,,467206.56206620554
2020-06-24,,470044.730108795
2020-06-25,,472735.4043451348
2020-06-26,,475284.0128465952
2020-06-27,,477695.9806221414
2020-06-28,,479976.70880178385
2020-06-29,,482131.55570285144
2020-06-30,,484165.8197258416
2020-07-01,,486084.72401805804
2020-07-02,,487893.4028361777
2020-07-03,,489596.88953316637
2020-07-04,,491200.10609050054
2020-07-05,,492707.8541133577
2020-07-06,,494124.8072041919
2020-07-07,,495455.5046288199
2020-07-08,,496704.34618872334
2020-07-09,,497875.5882135886
2020-07-10,,498973.3405891213
2020-07-11,,500001.56473674724
2020-07-12,,500964.07246390084
2020-07-13,,501864.5256060987
2020-07-14,,502706.4363848609
2020-07-15,,503493.1684086674
2020-07-16,,504227.93824750633
2020-07-17,,504913.8175150812
2020-07-18,,505553.73539639066
2020-07-19,,506150.48156209214
2020-07-20,,506706.7094147975
2020-07-21,,507224.93961617537
2020-07-22,,507707.5638474193
2020-07-23,,508156.84875926044
2020-07-24,,508574.9400712466
2020-07-25,,508963.8667834239
2020-07-26,,509325.54546686774
2020-07-27,,509661.78460267367
2020-07-28,,509974.28894204163
2020-07-29,,510264.6638629636
2020-07-30,,510534.41970171506
2020-07-31,,510784.97603993857
2020-08-01,,511017.6659304584
2020-08-02,,511233.7400472293
2020-08-03,,511434.3707468731
2020-08-04,,511620.65603118425
2020-08-05,,511793.6234017431
2020-08-06,,511954.23359939846
2020-08-07,,512103.3842228597
2020-08-08,,512241.9132219727
2020-08-09,,512370.6022624766
2020-08-10,,512490.1799601235
2020-08-11,,512601.32498302247
2020-08-12,,512704.6690219389
2020-08-13,,512800.7996290409
2020-08-14,,512890.2629262606
2020-08-15,,512973.56618503336
2020-08-16,,513051.18027965503
