Date,Actual,Prediction
2020-02-25,0.0,0.0
2020-02-26,1.0,0.0
2020-02-27,1.0,3.9404507661603844e-17
2020-02-28,1.0,1.975649708810953e-14
2020-02-29,2.0,1.5680834760172216e-12
2020-03-01,2.0,4.568331963863126e-11
2020-03-02,2.0,7.102583949079748e-10
2020-03-03,2.0,7.169566832907614e-09
2020-03-04,4.0,5.273235859538249e-08
2020-03-05,4.0,3.0428087780790646e-07
2020-03-06,13.0,1.4487233029692429e-06
2020-03-07,13.0,5.900091318212545e-06
2020-03-08,20.0,2.1109891269290617e-05
2020-03-09,25.0,6.771778883329483e-05
2020-03-10,31.0,0.00019788081324818987
2020-03-11,38.0,0.0005334272920798697
2020-03-12,52.0,0.0013401595836592265
2020-03-13,151.0,0.0031643970737062887
2020-03-14,151.0,0.007071417084364441
2020-03-15,162.0,0.015043431657041651
2020-03-16,200.0,0.030617562503241456
2020-03-17,321.0,0.059872099058666334
2020-03-18,372.0,0.1129019454512392
2020-03-19,621.0,0.20596096858225088
2020-03-20,793.0,0.36448889551365193
2020-03-21,1021.0,0.6272819767803729
2020-03-22,1546.0,1.0521079308406407
2020-03-23,1924.0,1.7231044755314024
2020-03-24,2247.0,2.7603345595619326
2020-03-25,2554.0,4.331897639157081
2020-03-26,2985.0,6.669012430859366
2020-03-27,3417.0,10.084490103605862
2020-03-28,3904.0,14.995005747791028
2020-03-29,4256.0,21.94754850555932
2020-03-30,4579.0,31.650385838229475
2020-03-31,5717.0,45.00881454616547
2020-04-01,6836.0,63.16589053201604
2020-04-02,8044.0,87.54823180875077
2020-04-03,9056.0,119.91687650007927
2020-04-04,10360.0,162.4230518256782
2020-04-05,11130.0,217.66857416366895
2020-04-06,12161.0,288.77045759413534
2020-04-07,14034.0,379.4291625920831
2020-04-08,16170.0,493.99977175527727
2020-04-09,18092.0,637.5652397414008
2020-04-10,19638.0,816.0107340500361
2020-04-11,20727.0,1036.097965862332
2020-04-12,22192.0,1305.5383095048792
2020-04-13,23430.0,1633.0634284943071
2020-04-14,25262.0,2028.4920683070113
2020-04-15,28320.0,2502.7916431865187
2020-04-16,30425.0,3068.133237994904
2020-04-17,33682.0,3737.9386672050887
2020-04-18,36658.0,4526.918281801054
2020-04-19,38654.0,5451.098290602729
2020-04-20,40743.0,6527.836464208661
2020-04-21,43079.0,7775.825215586614
2020-04-22,45757.0,9215.081199025852
2020-04-23,50036.0,10866.920735903332
2020-04-24,54043.0,12753.920558320946
2020-04-25,59324.0,14899.86355665219
2020-04-26,63100.0,17329.66942068751
2020-04-27,67446.0,20069.31027256623
2020-04-28,73235.0,23145.711599179776
2020-04-29,79685.0,26586.638998437305
2020-04-30,87187.0,30420.571454055917
2020-05-01,92202.0,34676.562043948135
2020-05-02,97100.0,39384.08716467815
2020-05-03,101826.0,44572.885516039954
2020-05-04,108620.0,50272.788233141626
2020-05-05,115455.0,56513.54167643783
2020-05-06,126611.0,63324.624491357885
2020-05-07,135773.0,70735.06062737526
2020-05-08,146894.0,78773.23006086494
2020-05-09,156061.0,87466.67899663097
2020-05-10,162699.0,96841.9313297009
2020-05-11,169594.0,106924.30313243688
2020-05-12,178214.0,117737.72189309474
2020-05-13,190137.0,129304.55217191632
2020-05-14,203165.0,141645.42926117076
2020-05-15,220291.0,154779.10233804013
2020-05-16,233511.0,168722.28848581194
2020-05-17,241080.0,183489.53883162414
2020-05-18,255368.0,199093.11791020402
2020-05-19,271885.0,215542.89721495158
2020-05-20,291579.0,232846.26374262755
2020-05-21,310087.0,251008.04417812653
2020-05-22,330890.0,270030.4452035447
2020-05-23,347398.0,289913.0102532154
2020-05-24,363211.0,310652.5928755302
2020-05-25,374898.0,332243.34670518996
2020-05-26,391222.0,354676.7318977241
2020-05-27,411821.0,377941.5377332901
2020-05-28,438238.0,402023.9209602957
2020-05-29,465166.0,426907.4593225035
2020-05-30,498440.0,452573.21959694684
2020-05-31,514849.0,478999.83936506545
2020-06-01,526447.0,506163.6216465457
2020-06-02,555383.0,534038.6414448489
2020-06-03,584016.0,562596.8631856011
2020-06-04,614941.0,591808.2679739515
2020-06-05,645771.0,621640.9895545958
2020-06-06,672846.0,652061.4578281877
2020-06-07,691758.0,683034.5487599382
2020-06-08,707412.0,714523.7395098574
2020-06-09,739503.0,746491.2676187162
2020-06-10,772416.0,778898.2930987311
2020-06-11,802828.0,811705.0623024702
2020-06-12,828810.0,844871.0724766643
2020-06-13,850514.0,878355.2359487166
2020-06-14,867624.0,912116.0429418144
2020-06-15,888271.0,946111.7220687243
2020-06-16,923189.0,980300.3976137674
2020-06-17,955377.0,1014640.2427761889
2020-06-18,978142.0,1049089.6281152463
2020-06-19,1032913.0,1083607.2645070783
2020-06-20,1067579.0,1118152.3399948645
2020-06-21,1083341.0,1152684.6499862673
2020-06-22,1106470.0,1187164.7203248134
2020-06-23,1145906.0,1221553.9228341887
2020-06-24,1188631.0,1255814.583005632
2020-06-25,1228114.0,1289910.079568219
2020-06-26,1274974.0,1323804.935749318
2020-06-27,1313667.0,1357464.9020974173
2020-06-28,1344143.0,1390857.0308014436
2020-06-29,1368195.0,1423949.741499353
2020-06-30,1402041.0,1456712.8786238476
2020-07-01,1448753.0,1489117.7603843564
2020-07-02,1496858.0,1521137.2195317151
2020-07-03,1539081.0,1552745.6360953066
2020-07-04,1577004.0,1583918.9623214446
2020-07-05,1603055.0,1614634.7400767934
2020-07-06,1623284.0,1644872.1110114132
2020-07-07,1668589.0,1674611.8198026514
2020-07-08,1713160.0,1703836.2108238698
2020-07-09,1755779.0,1732529.218600704
2020-07-10,1800827.0,1760676.3524325993
2020-07-11,1839850.0,1788264.6755687858
2020-07-12,1864681.0,1815282.779335822
2020-07-13,1884967.0,1841720.752618644
2020-07-14,1926824.0,1867570.1470987506
2020-07-15,1966748.0,1892823.9386521387
2020-07-16,2012151.0,1917476.4853059426
2020-07-17,2046328.0,1941523.4821467183
2020-07-18,2074860.0,1964961.9135651912
2020-07-19,2098389.0,1987790.0032122438
2020-07-20,2118646.0,2010007.162029165
2020-07-21,2159654.0,2031613.9347020076
2020-07-22,,2052611.9448754238
2020-07-23,,2073003.8394458215
2020-07-24,,2092793.2322373237
2020-07-25,,2111984.647346921
2020-07-26,,2130583.4624276725
2020-07-27,,2148595.852160866
2020-07-28,,2166028.732149971
2020-07-29,,2182889.7034510593
2020-07-30,,2199186.997936286
2020-07-31,,2214929.4246691433
2020-08-01,,2230126.317452629
2020-08-02,,2244787.48369425
2020-08-03,,2258923.154715101
2020-08-04,,2272543.9376140363
2020-08-05,,2285660.7687824527
2020-08-06,,2298284.869150189
2020-08-07,,2310427.7012289776
2020-08-08,,2322100.928006254
2020-08-09,,2333316.373729535
2020-08-10,,2344085.986609556
2020-08-11,,2354421.8034592345
2020-08-12,,2364335.9162751273
2020-08-13,,2373840.440758496
2020-08-14,,2382947.4867642717
2020-08-15,,2391669.130658161
2020-08-16,,2400017.389554874
2020-08-17,,2408004.197403878
2020-08-18,,2415641.3828832456
2020-08-19,,2422940.649056979
2020-08-20,,2429913.5547466776
2020-08-21,,2436571.4975645905
2020-08-22,,2442925.698551667
2020-08-23,,2448987.1883616326
2020-08-24,,2454766.7949297824
2020-08-25,,2460275.1325635235
2020-08-26,,2465522.592390492
2020-08-27,,2470519.334099108
2020-08-28,,2475275.2789061284
2020-08-29,,2479800.1036856407
2020-08-30,,2484103.236194122
2020-08-31,,2488193.85132693
2020-09-01,,2492080.8683421765
2020-09-02,,2495772.9489892083
2020-09-03,,2499278.4964801176
2020-09-04,,2502605.6552440985
2020-09-05,,2505762.3114062776
2020-09-06,,2508756.0939342193
2020-09-07,,2511594.376397325
2020-09-08,,2514284.2792862765
2020-09-09,,2516832.672841739
2020-09-10,,2519246.1803436284
2020-09-11,,2521531.181814482
2020-09-12,,2523693.8180925716
2020-09-13,,2525739.9952326473
2020-09-14,,2527675.3891943935
2020-09-15,,2529505.4507808476
2020-09-16,,2531235.410791241
2020-09-17,,2532870.285354797
2020-09-18,,2534414.881414171
2020-09-19,,2535873.8023292744
2020-09-20,,2537251.453574164
2020-09-21,,2538552.0485016806
2020-09-22,,2539779.614152414
2020-09-23,,2540937.9970863024
2020-09-24,,2542030.8692170368
2020-09-25,,2543061.733631024
2020-09-26,,2544033.930374356
2020-09-27,,2544950.6421926566
2020-09-28,,2545814.900210279
2020-09-29,,2546629.5895365747
2020-09-30,,2547397.4547883454
2020-10-01,,2548121.1055188663
2020-10-02,,2548803.0215448965
2020-10-03,,2549445.5581643335
2020-10-04,,2550050.951258187
2020-10-05,,2550621.322271341
2020-10-06,,2551158.6830677115
2020-10-07,,2551664.940656091
2020-10-08,,2552141.901783713
2020-10-09,,2552591.2773954333
2020-10-10,,2553014.686956911
2020-10-11,,2553413.6626409306
2020-10-12,,2553789.653376374
2020-10-13,,2554144.0287600732
2020-10-14,,2554478.0828320286
2020-10-15,,2554793.037715002
2020-10-16,,2555090.047119825
2020-10-17,,2555370.199718119
2020-10-18,,2555634.522384342
2020-10-19,,2555883.98330945
2020-10-20,,2556119.4949885686
2020-10-21,,2556341.917085352
2020-10-22,,2556552.059175805
2020-10-23,,2556750.683374559
2020-10-24,,2556938.5068466095
2020-10-25,,2557116.2042077268
2020-10-26,,2557284.409816717
2020-10-27,,2557443.7199628595
2020-10-28,,2557594.6949518262
