Date,Actual,Prediction
2020-02-15,16.0,0.0
2020-02-16,16.0,0.0
2020-02-17,16.0,1.8885561092863565e-10
2020-02-18,16.0,4.677037090494615e-08
2020-02-19,16.0,2.1373911070135806e-06
2020-02-20,16.0,3.917576923153775e-05
2020-02-21,16.0,0.00040563628312434755
2020-02-22,16.0,0.0028340643372570078
2020-02-23,16.0,0.014832031259539554
2020-02-24,16.0,0.062181411748113154
2020-02-25,17.0,0.21864108031139767
2020-02-26,27.0,0.6663466690049455
2020-02-27,46.0,1.8037232201034186
2020-02-28,48.0,4.418121115966079
2020-02-29,79.0,9.936444710557875
2020-03-01,130.0,20.758311064896226
2020-03-02,159.0,40.6635190326275
2020-03-03,196.0,75.27071118509215
2020-03-04,262.0,132.50965951268114
2020-03-05,482.0,223.05830660935646
2020-03-06,670.0,360.6897931375369
2020-03-07,799.0,562.4755492715233
2020-03-08,1040.0,848.7983610554188
2020-03-09,1176.0,1243.1432901713883
2020-03-10,1457.0,1771.6527000425122
2020-03-11,1908.0,2462.4521577562996
2020-03-12,2745.0,3344.774218725949
2020-03-13,3675.0,4447.924833603195
2020-03-14,4585.0,5800.150586994409
2020-03-15,5795.0,7427.473061284024
2020-03-16,7272.0,9352.558882197383
2020-03-17,9257.0,11593.690659819615
2020-03-18,12327.0,14163.895838553753
2020-03-19,15320.0,17070.27853877925
2020-03-20,19848.0,20313.585144529738
2020-03-21,22213.0,23888.01904057229
2020-03-22,24873.0,27781.304808525903
2020-03-23,29056.0,31974.98843669508
2020-03-24,32986.0,36444.94850197168
2020-03-25,37323.0,41162.08437610706
2020-03-26,43938.0,46093.141541568526
2020-03-27,50871.0,51201.63106940142
2020-03-28,57695.0,56448.80000070606
2020-03-29,62095.0,61794.611418571345
2020-03-30,66885.0,67198.6969346961
2020-03-31,71808.0,72621.2496346375
2020-04-01,77872.0,78023.8317166963
2020-04-02,84794.0,83370.0776452944
2020-04-03,91159.0,88626.2802035542
2020-04-04,96092.0,93761.85303043191
2020-04-05,100123.0,98749.66880651048
2020-04-06,103374.0,103566.27703306779
2020-04-07,107663.0,108192.00923158576
2020-04-08,113296.0,112610.98234279954
2020-04-09,118181.0,116811.01314836726
2020-04-10,122171.0,120783.45773957149
2020-04-11,124908.0,124522.99051155942
2020-04-12,127854.0,128027.33698250978
2020-04-13,130072.0,131296.974047304
2020-04-14,131359.0,134334.81019752883
2020-04-15,134753.0,137145.85689049063
2020-04-16,137698.0,139736.90073506723
2020-04-17,141397.0,142116.18457356305
2020-04-18,143342.0,144293.10395278543
2020-04-19,145184.0,146277.9239551324
2020-04-20,147065.0,148081.5199471821
2020-04-21,148291.0,149715.14453069682
2020-04-22,150648.0,151190.22186834124
2020-04-23,153129.0,152518.1696124687
2020-04-24,154999.0,153710.24789018463
2020-04-25,,154777.43418503864
2020-04-26,,155730.32249366376
2020-04-27,,156579.04480974207
2020-04-28,,157333.21278109503
2020-04-29,,158001.87728095782
2020-04-30,,158593.50361410165
2020-05-01,,159115.96012572187
2020-05-02,,159576.51808040807
2020-05-03,,159981.86081615082
2020-05-04,,160338.10034200564
2020-05-05,,160650.79972734643
2020-05-06,,160924.99981695315
2020-05-07,,161165.24899255272
2020-05-08,,161375.6348824465
2020-05-09,,161559.8170924778
2020-05-10,,161721.0601909911
2020-05-11,,161862.26632578028
2020-05-12,,161986.00698135563
2020-05-13,,162094.55349987122
2020-05-14,,162189.90608898495
2020-05-15,,162273.82112541233
2020-05-16,,162347.8366348697
2020-05-17,,162413.29588862014
2020-05-18,,162471.36910511434
2020-05-19,,162523.07328351805
2020-05-20,,162569.29022549916
