Date,Actual,Prediction
2020-02-26,0.0,0.0
2020-02-27,1.0,0.0
2020-02-28,1.0,0.057687066013159836
2020-02-29,3.0,0.2846534932915261
2020-03-01,4.0,0.9461596868915196
2020-03-02,4.0,2.440655114812727
2020-03-03,6.0,5.301530248897797
2020-03-04,10.0,10.181105140806402
2020-03-05,10.0,17.82756453749485
2020-03-06,23.0,29.058281579067057
2020-03-07,23.0,44.73199733959909
2020-03-08,35.0,65.72162782950156
2020-03-09,90.0,92.88892302719053
2020-03-10,262.0,127.06177490858107
2020-03-11,442.0,169.01464134629967
2020-03-12,615.0,219.4523019326962
2020-03-13,801.0,278.99697503892156
2020-03-14,827.0,348.1786901071917
2020-03-15,864.0,427.4287147972906
2020-03-16,914.0,517.0757745101845
2020-03-17,977.0,617.344764869329
2020-03-18,1057.0,728.3576401258276
2020-03-19,1151.0,850.1361574237746
2020-03-20,1255.0,982.6061645805024
2020-03-21,1326.0,1125.6031344223209
2020-03-22,1395.0,1278.878669316555
2020-03-23,1450.0,1442.1077234212037
2020-03-24,1591.0,1614.896315828136
2020-03-25,1724.0,1796.7895340485825
2020-03-26,1877.0,1987.2796533110763
2020-03-27,2046.0,2185.8142222737843
2020-03-28,2201.0,2391.803989543676
2020-03-29,2395.0,2604.6305675413028
2020-03-30,2577.0,2823.653750566622
2020-03-31,2860.0,3048.2184223146664
2020-04-01,3107.0,3277.6610045366565
2020-04-02,3386.0,3511.315413072432
2020-04-03,3757.0,3748.518500162704
2020-04-04,4077.0,3988.6149728816317
2020-04-05,4369.0,4230.96178682653
2020-04-06,4681.0,4474.932021989242
2020-04-07,5071.0,4719.918254144832
2020-04-08,5402.0,4965.335440261799
2020-04-09,5635.0,5210.623340495523
2020-04-10,5819.0,5455.248502400468
2020-04-11,5996.0,5698.705835207807
2020-04-12,6174.0,5940.51980347729
2020-04-13,6318.0,6180.2452702508235
2020-04-14,6511.0,6417.4680201073525
2020-04-15,6681.0,6651.80499233247
2020-04-16,6879.0,6882.9042538514495
2020-04-17,7073.0,7110.4447407025655
2020-04-18,7242.0,7334.135795711839
2020-04-19,7384.0,7553.716528726891
2020-04-20,7515.0,7768.955024324914
2020-04-21,7695.0,7979.6474203705475
2020-04-22,7912.0,8185.61687919989
2020-04-23,8073.0,8386.712471577786
2020-04-24,8210.0,8582.807991943242
2020-04-25,8445.0,8773.800721843601
2020-04-26,,8959.61015687988
2020-04-27,,9140.176710957405
2020-04-28,,9315.460410168818
2020-04-29,,9485.439587239183
2020-04-30,,9650.109586141018
2020-05-01,,9809.481485245384
2020-05-02,,9963.580846215458
2020-05-03,,10112.446494772594
2020-05-04,,10256.129338471737
2020-05-05,,10394.691225711265
2020-05-06,,10528.203849370833
2020-05-07,,10656.747697716186
2020-05-08,,10780.411054529353
2020-05-09,,10899.289049812576
2020-05-10,,11013.482761871188
2020-05-11,,11123.098371099833
2020-05-12,,11228.246365374804
2020-05-13,,11329.040796588015
2020-05-14,,11425.598587541435
2020-05-15,,11518.038888150833
2020-05-16,,11606.482479680319
2020-05-17,,11691.051225540728
2020-05-18,,11771.86756703203
2020-05-19,,11849.054062288493
2020-05-20,,11922.732966593316
2020-05-21,,11993.025852162269
2020-05-22,,12060.05326545204
2020-05-23,,12123.934420024932
2020-05-24,,12184.78692299521
2020-05-25,,12242.726533091485
2020-05-26,,12297.8669483915
2020-05-27,,12350.319621819284
2020-05-28,,12400.193602537847
2020-05-29,,12447.59540142113
2020-05-30,,12492.628878846672
2020-05-31,,12535.39515311321
2020-06-01,,12575.992527853547
2020-06-02,,12614.516436883583
2020-06-03,,12651.059404999181
2020-06-04,,12685.711023306381
2020-06-05,,12718.55793774366
2020-06-06,,12749.68384952845
2020-06-07,,12779.169526333313
2020-06-08,,12807.092823068893
2020-06-09,,12833.528711221434
