Date,Actual,Prediction
2020-02-17,2.0,0.0
2020-02-18,2.0,0.0
2020-02-19,2.0,1.5835940056060185e-12
2020-02-20,2.0,1.1213590245833998e-09
2020-02-21,2.0,1.0510966533858356e-07
2020-02-22,2.0,3.278467819804953e-06
2020-02-23,2.0,5.137163534490974e-05
2020-02-24,2.0,0.0005019723272382912
2020-02-25,6.0,0.00347242097897513
2020-02-26,13.0,0.018441388227286477
2020-02-27,15.0,0.07945723493793094
2020-02-28,32.0,0.28890644897210527
2020-02-29,45.0,0.9126936768995142
2020-03-01,84.0,2.561433695392015
2020-03-02,120.0,6.497675204829648
2020-03-03,165.0,15.105665094589632
2020-03-04,222.0,32.54445550545519
2020-03-05,259.0,65.57690755004025
2020-03-06,400.0,124.52966039548826
2020-03-07,500.0,224.29894452532713
2020-03-08,673.0,385.28252500416124
2020-03-09,1073.0,634.0971250344105
2020-03-10,1695.0,1003.9392687984853
2020-03-11,2277.0,1534.4679029335289
2020-03-12,2277.0,2271.1276779851396
2020-03-13,5232.0,3263.887063778958
2020-03-14,6391.0,4565.427751729827
2020-03-15,7798.0,6228.882348857597
2020-03-16,9942.0,8305.268085801377
2020-03-17,11748.0,10840.798894483021
2020-03-18,13910.0,13874.273144547711
2020-03-19,17963.0,17434.728825095055
2020-03-20,20410.0,21539.53392662071
2020-03-21,25374.0,26193.041175303937
2020-03-22,28768.0,31385.88831606549
2020-03-23,35136.0,37094.97347987509
2020-03-24,42058.0,43284.0851382197
2020-03-25,49515.0,49905.12219319648
2020-03-26,57786.0,56899.805086098626
2020-03-27,65719.0,64201.75526282111
2020-03-28,73235.0,71738.80841184595
2020-03-29,80110.0,79435.42594686507
2020-03-30,87956.0,87215.07772790066
2020-03-31,95923.0,95002.48492752592
2020-04-01,104118.0,102725.63291832471
2020-04-02,112065.0,110317.4877532111
2020-04-03,119199.0,117717.3741094957
2020-04-04,126168.0,124871.99569743263
2020-04-05,131646.0,131736.09974680282
2020-04-06,136675.0,138272.8043798227
2020-04-07,141942.0,144453.62097761652
2020-04-08,148220.0,150258.2129421863
2020-04-09,153222.0,155673.93773449073
2020-04-10,158273.0,160695.2211371485
2020-04-11,163027.0,165322.81189151522
2020-04-12,166831.0,169562.961806176
2020-04-13,170099.0,173426.57175008688
2020-04-14,173500.0,176928.338216719
2020-04-15,,180085.92889745563
2020-04-16,,182919.20937014165
2020-04-17,,185449.53693603104
2020-04-18,,187699.13207691401
2020-04-19,,189690.5331194396
2020-04-20,,191446.13557602753
2020-04-21,,192987.81430938173
2020-04-22,,194336.62412003338
2020-04-23,,195512.57252762042
2020-04-24,,196534.45732740653
2020-04-25,,197419.76086132394
2020-04-26,,198184.59275030275
2020-04-27,,198843.6729961959
2020-04-28,,199410.34778797446
2020-04-29,,199896.63095815197
2020-04-30,,200313.26476281454
2020-05-01,,200669.79444513784
2020-05-02,,200974.65184232392
2020-05-03,,201235.24407477237
2020-05-04,,201458.04408890792
2020-05-05,,201648.68049467687
2020-05-06,,201812.02473544385
2020-05-07,,201952.27414759283
2020-05-08,,202073.029909544
2020-05-09,,202177.36924829302
2020-05-10,,202267.9115712161
2020-05-11,,202346.87842846583
2020-05-12,,202416.14739409875
2020-05-13,,202477.30008970143
2020-05-14,,202531.6646700745
2020-05-15,,202580.35315341284
2020-05-16,,202624.29401472048
