Date,Actual,Prediction
2020-02-22,9.0,0.0
2020-02-23,9.0,0.0
2020-02-24,13.0,3.159277317441383e-07
2020-02-25,13.0,1.583013444803796e-05
2020-02-26,13.0,0.0002456307519055385
2020-02-27,15.0,0.0020389998479710143
2020-02-28,20.0,0.011386381304568304
2020-02-29,23.0,0.048202281428455854
2020-03-01,36.0,0.1661837711319227
2020-03-02,40.0,0.4889499944239736
2020-03-03,51.0,1.2680599775319992
2020-03-04,85.0,2.967200717883797
2020-03-05,115.0,6.374450322957054
2020-03-06,163.0,12.74138745413261
2020-03-07,206.0,23.944396036307733
2020-03-08,273.0,42.66028204252915
2020-03-09,321.0,72.54569569904764
2020-03-10,382.0,118.40814225817456
2020-03-11,456.0,186.35573366334097
2020-03-12,590.0,283.91330989086066
2020-03-13,798.0,420.0940504756386
2020-03-14,1140.0,605.4180208171197
2020-03-15,1391.0,851.8720139288495
2020-03-16,1543.0,1172.8082911265035
2020-03-17,1950.0,1582.7831331896973
2020-03-18,2626.0,2097.339251205783
2020-03-19,3269.0,2732.738879425924
2020-03-20,3983.0,3505.656636933735
2020-03-21,5018.0,4432.842909489876
2020-03-22,5683.0,5530.769527149458
2020-03-23,6650.0,6815.269902045328
2020-03-24,8077.0,8301.185586526866
2020-03-25,9529.0,10002.03048571471
2020-03-26,11658.0,11929.682801056071
2020-03-27,14543.0,14094.113294092287
2020-03-28,17089.0,16503.156747034383
2020-03-29,19522.0,19162.331660367854
2020-03-30,22141.0,22074.711360919646
2020-03-31,25150.0,25240.847878280976
2020-04-01,29474.0,28658.748250959863
2020-04-02,33718.0,32323.901398971386
2020-04-03,38168.0,36229.352384618294
2020-04-04,41903.0,40365.81980157357
2020-04-05,47806.0,44721.8511947022
2020-04-06,51608.0,49284.010818748786
2020-04-07,55242.0,54037.09368311477
2020-04-08,60733.0,58964.35968512258
2020-04-09,65077.0,64047.7816826634
2020-04-10,73758.0,69268.30157258459
2020-04-11,78991.0,74606.08879526163
2020-04-12,84279.0,80040.79614962732
2020-04-13,88621.0,85551.80834822806
2020-04-14,93873.0,91118.47934192524
2020-04-15,98476.0,96720.35507418156
2020-04-16,103093.0,102337.37896373856
2020-04-17,108692.0,107950.07804317065
2020-04-18,114217.0,113539.72828372617
2020-04-19,120067.0,119088.49820159299
2020-04-20,124743.0,124579.57035781856
2020-04-21,129044.0,129997.24082694354
2020-04-22,133495.0,135326.99711388594
2020-04-23,138078.0,140555.57534288437
2020-04-24,143464.0,145670.99782643892
2020-04-25,148377.0,150662.59234783708
2020-04-26,152840.0,155520.99466095248
2020-04-27,157149.0,160238.13582946543
2020-04-28,161145.0,164807.2160991
2020-04-29,165221.0,169222.66702595676
2020-04-30,171253.0,173480.10357687843
2020-05-01,177454.0,177576.2678793657
2020-05-02,182260.0,181508.96623416102
2020-05-03,186599.0,185277.00091828205
2020-05-04,190584.0,188880.09820478567
2020-05-05,194990.0,192318.83391224584
2020-05-06,201101.0,195594.55767579103
2020-05-07,,198709.3170060861
2020-05-08,,201665.78207590108
2020-05-09,,204467.17204849605
2020-05-10,,207117.18364012038
2020-05-11,,209619.92249223075
2020-05-12,,211979.8378189461
2020-05-13,,214201.66069277807
2020-05-14,,216290.34623753198
2020-05-15,,218251.01991186215
2020-05-16,,220088.92799050664
2020-05-17,,221809.3922826787
2020-05-18,,223417.7690682964
2020-05-19,,224919.41218235344
2020-05-20,,226319.64013536644
2020-05-21,,227623.70712295728
2020-05-22,,228836.7777497054
2020-05-23,,229963.9052708127
2020-05-24,,231010.0131392846
2020-05-25,,231979.87963560122
2020-05-26,,232878.12535063803
2020-05-27,,233709.20329032556
2020-05-28,,234477.3913716189
2020-05-29,,235186.7870832933
2020-05-30,,235841.30409137646
2020-05-31,,236444.67057723118
2020-06-01,,237000.4291060115
2020-06-02,,237511.9378340533
2020-06-03,,237982.37287541377
2020-06-04,,238414.7316599429
2020-06-05,,238811.83712772222
2020-06-06,,239176.34261721728
2020-06-07,,239510.7373168767
2020-06-08,,239817.35216205457
2020-06-09,,240098.3660708597
2020-06-10,,240355.81242380993
2020-06-11,,240591.58570287575
2020-06-12,,240807.44821558893
2020-06-13,,241005.03683936642
2020-06-14,,241185.86972997748
2020-06-15,,241351.35294621447
2020-06-16,,241502.78695027585
2020-06-17,,241641.3729501636
2020-06-18,,241768.21905655586
2020-06-19,,241884.34623215222
