Date,Actual,Prediction
2020-02-10,3.0,0.0
2020-02-11,3.0,0.0
2020-02-12,3.0,8.90357908722271e-05
2020-02-13,3.0,0.0020070425455611766
2020-02-14,3.0,0.018100227730232846
2020-02-15,3.0,0.09988553463399596
2020-02-16,3.0,0.4013287358654187
2020-02-17,3.0,1.2890211186856224
2020-02-18,3.0,3.504168546898013
2020-02-19,3.0,8.372006919585306
2020-02-20,3.0,18.04542740047125
2020-02-21,20.0,35.762918546605874
2020-02-22,62.0,66.09728225728024
2020-02-23,155.0,115.17110472094296
2020-02-24,229.0,190.81729356633252
2020-02-25,322.0,302.6674562849611
2020-02-26,453.0,462.1566997085984
2020-02-27,655.0,682.4397973423106
2020-02-28,888.0,978.2199245623814
2020-02-29,1128.0,1365.4967745289543
2020-03-01,1694.0,1861.245478570328
2020-03-02,2036.0,2483.0411604688315
2020-03-03,2502.0,3248.646088948241
2020-03-04,3089.0,4175.577301287608
2020-03-05,3858.0,5280.6723783675
2020-03-06,4636.0,6579.6699346858595
2020-03-07,5883.0,8086.819550222512
2020-03-08,7375.0,9814.533525475907
2020-03-09,9172.0,11773.09018864026
2020-03-10,10149.0,13970.395706931797
2020-03-11,12462.0,16411.80860791874
2020-03-12,15113.0,19100.028626554307
2020-03-13,17660.0,22035.04915374036
2020-03-14,21157.0,25214.170537395625
2020-03-15,24747.0,28632.069815101924
2020-03-16,27980.0,32280.92115322691
2020-03-17,31506.0,36150.56032662272
2020-03-18,35713.0,40228.68597624394
2020-03-19,41035.0,44501.09009894638
2020-03-20,47021.0,48951.91021653408
2020-03-21,53578.0,53563.89589776822
2020-03-22,59138.0,58318.68272388439
2020-03-23,63927.0,63197.06735207052
2020-03-24,69176.0,68179.27800141046
2020-03-25,74386.0,73245.23542444529
2020-03-26,80589.0,78374.80020137646
2020-03-27,86498.0,83548.00297426498
2020-03-28,92472.0,88745.25500140637
2020-03-29,97689.0,93947.53713812148
2020-03-30,101739.0,99136.56602475248
2020-03-31,105792.0,104294.93687507615
2020-04-01,110574.0,109406.2428017387
2020-04-02,115242.0,114455.17108601482
2020-04-03,119827.0,119427.5771962667
2020-04-04,124632.0,124310.53768425473
2020-04-05,128948.0,129092.38334404436
2020-04-06,132547.0,133762.7142091399
2020-04-07,135586.0,138312.39809509486
2020-04-08,139422.0,142733.55447329357
2020-04-09,143626.0,147019.52549326787
2020-04-10,147577.0,151164.8359623441
2020-04-11,152271.0,155165.14404900247
2020-04-12,156363.0,159017.18440624318
2020-04-13,159516.0,162718.70531926406
2020-04-14,162488.0,166268.40137318932
2020-04-15,165155.0,169665.84301625378
2020-04-16,168941.0,172911.40426602206
2020-04-17,172434.0,176006.1896746052
2020-04-18,175925.0,178951.9615366356
2020-04-19,178972.0,181751.06819359883
2020-04-20,181228.0,184406.3741621978
2020-04-21,183957.0,186921.19269442477
2020-04-22,187327.0,189299.2212642688
2020-04-23,189973.0,191544.48037141218
2020-04-24,192994.0,193661.2559564856
2020-04-25,195351.0,195654.04563579996
2020-04-26,197675.0,197527.50888605206
2020-04-27,199414.0,199286.42124120935
2020-04-28,201505.0,200935.6325043706
2020-04-29,203591.0,202480.02892649302
2020-04-30,205463.0,203924.4992609882
2020-05-01,207428.0,205273.90456778943
2020-05-02,209328.0,206533.05161198153
2020-05-03,210717.0,207706.6696798498
2020-05-04,211938.0,208799.39061862213
2020-05-05,213013.0,209815.73189463344
2020-05-06,214457.0,210760.08245751844
2020-05-07,215858.0,211636.6911947686
2020-05-08,217185.0,212449.6577610242
2020-05-09,218268.0,213202.92556928593
2020-05-10,,213900.2767363661
2020-05-11,,214545.32878191074
2020-05-12,,215141.53288882598
2020-05-13,,215692.17354257876
2020-05-14,,216200.369377305
2020-05-15,,216669.07506767483
2020-05-16,,217101.0841167966
2020-05-17,,217499.03240188633
2020-05-18,,217865.4023508207
2020-05-19,,218202.52763387928
2020-05-20,,218512.5982658597
2020-05-21,,218797.66602421796
2020-05-22,,219059.6500988785
2020-05-23,,219300.34289881834
2020-05-24,,219521.41594942802
2020-05-25,,219724.4258229512
2020-05-26,,219910.82005201722
