Date,Actual,Prediction
2020-02-26,0.0,0.0
2020-02-27,1.0,0.0
2020-02-28,1.0,0.010526732336941317
2020-02-29,6.0,0.09310906594754824
2020-03-01,10.0,0.4527004063279721
2020-03-02,18.0,1.56225739771677
2020-03-03,24.0,4.290190518933949
2020-03-04,38.0,10.009224830848202
2020-03-05,82.0,20.66941071417458
2020-03-06,128.0,38.82706791843424
2020-03-07,188.0,67.6281811920884
2020-03-08,265.0,110.74985572845283
2020-03-09,321.0,172.3067964005067
2020-03-10,382.0,256.73160731503987
2020-03-11,503.0,368.63832171101524
2020-03-12,503.0,512.678282930226
2020-03-13,804.0,693.3965937597636
2020-03-14,959.0,915.0960774751844
2020-03-15,1135.0,1181.7142430530866
2020-03-16,1413.0,1496.7172650052578
2020-03-17,1705.0,1863.0135783965993
2020-03-18,2051.0,2282.888419543736
2020-03-19,2460.0,2757.959551824321
2020-03-20,2994.0,3289.153521202248
2020-03-21,3631.0,3876.7010886029207
2020-03-22,4204.0,4520.149976016425
2020-03-23,4749.0,5218.392722737474
2020-03-24,5560.0,5969.707255864426
2020-03-25,6412.0,6771.807711655643
2020-03-26,7431.0,7621.903078068311
2020-03-27,8603.0,8516.761341381245
2020-03-28,9762.0,9452.776990719043
2020-03-29,10866.0,10426.039945384042
2020-03-30,11750.0,11432.40420555364
2020-03-31,12595.0,12467.55477407862
2020-04-01,13614.0,13527.07164526936
2020-04-02,14697.0,14606.489897420353
2020-04-03,15723.0,15701.355153200548
2020-04-04,16627.0,16807.27388153039
2020-04-05,17851.0,17919.95820331662
2020-04-06,18803.0,19035.265029842798
2020-04-07,19580.0,20149.229506176227
2020-04-08,20549.0,21258.09285292719
2020-04-09,21762.0,22358.324798985188
2020-04-10,23097.0,23446.640876812748
2020-04-11,24413.0,24520.014912165476
2020-04-12,25587.0,25575.687083580127
2020-04-13,26551.0,26611.167955576188
2020-04-14,27419.0,27624.238905211012
2020-04-15,28153.0,28612.949366327393
2020-04-16,29214.0,29575.611311358734
2020-04-17,30449.0,30510.791378613365
2020-04-18,31589.0,31417.301035102173
2020-04-19,32655.0,32294.185142609276
2020-04-20,33405.0,33140.70926907469
2020-04-21,34134.0,33956.34605954956
2020-04-22,34842.0,34740.76095192769
2020-04-23,35729.0,35493.7974931379
2020-04-24,36535.0,36215.46248215326
2020-04-25,37190.0,36905.91113755823
2020-04-26,37845.0,37565.43245993126
2020-04-27,38245.0,38194.43493326343
2020-04-28,38416.0,38793.43268527201
2020-04-29,38802.0,39363.03220393656
2020-04-30,,39903.919686973975
2020-05-01,,40416.849082316796
2020-05-02,,40902.63086095545
2020-05-03,,41362.12154871428
2020-05-04,,41796.214030576506
2020-05-05,,42205.828629967764
2020-05-06,,42591.90495584663
2020-05-07,,42955.39450241152
2020-05-08,,43297.25397960071
2020-05-09,,43618.43934720426
2020-05-10,,43919.90052120395
2020-05-11,,44202.57671778115
2020-05-12,,44467.392398170225
2020-05-13,,44715.253776069025
2020-05-14,,44947.045848544
2020-05-15,,45163.62991118744
2020-05-16,,45365.8415186023
2020-05-17,,45554.48885202966
2020-05-18,,45730.35145701045
2020-05-19,,45894.17931532682
2020-05-20,,46046.69221703229
2020-05-21,,46188.57940010437
2020-05-22,,46320.49942708704
2020-05-23,,46443.080269999744
2020-05-24,,46556.91957673026
2020-05-25,,46662.585094079164
2020-05-26,,46760.61522455519
2020-05-27,,46851.51969591148
2020-05-28,,46935.78032425208
2020-05-29,,47013.85185330422
