Date,Actual,Prediction
2020-01-01,,0.0
2020-01-02,,0.0
2020-01-03,,5.982804647884198e-23
2020-01-04,,1.1178961022835904e-19
2020-01-05,,2.229687409371554e-17
2020-01-06,,1.310143808519023e-15
2020-01-07,,3.5719968904985494e-14
2020-01-08,,5.748747174769387e-13
2020-01-09,,6.2948523518206654e-12
2020-01-10,,5.1354817047531734e-11
2020-01-11,,3.3201445859496284e-10
2020-01-12,,1.7774354020722862e-09
2020-01-13,,8.139236870746718e-09
2020-01-14,,3.2677059285958175e-08
2020-01-15,,1.1725150123533597e-07
2020-01-16,,3.818055171168864e-07
2020-01-17,,1.1422838807299391e-06
2020-01-18,,3.1718217284408407e-06
2020-01-19,,8.243199041627556e-06
2020-01-20,,2.019292974338862e-05
2020-01-21,,4.690484110656078e-05
2020-01-22,0.0,0.00010384205959121248
2020-01-23,1.0,0.00022008086766006583
2020-01-24,3.0,0.0004482376447124775
2020-01-25,3.0,0.0008802484025345856
2020-01-26,4.0,0.0016716717345715917
2020-01-27,5.0,0.0030780452230444815
2020-01-28,7.0,0.0055078272661219126
2020-01-29,7.0,0.009597583366523436
2020-01-30,10.0,0.01631629679036603
2020-01-31,13.0,0.027106952302774642
2020-02-01,16.0,0.044074798478834824
2020-02-02,18.0,0.07023286640547721
2020-02-03,18.0,0.10981632810181412
2020-02-04,24.0,0.1686780281994551
2020-02-05,28.0,0.25477792721693815
2020-02-06,28.0,0.378779167483376
2020-02-07,30.0,0.5547629356003324
2020-02-08,33.0,0.8010731845758452
2020-02-09,40.0,1.1413005496862936
2020-02-10,45.0,1.605412423066011
2020-02-11,47.0,2.2310331475139202
2020-02-12,50.0,3.064874682614824
2020-02-13,58.0,4.164313947141936
2020-02-14,67.0,5.599108439652239
2020-02-15,72.0,7.453236798422757
2020-02-16,75.0,9.826845818473005
2020-02-17,77.0,12.838280250647689
2020-02-18,81.0,16.626166630554415
2020-02-19,84.0,21.351517594085966
2020-02-20,84.0,27.199818800954922
2020-02-21,85.0,34.383056870467435
2020-02-22,85.0,43.14164378348668
2020-02-23,89.0,53.746191150882105
2020-02-24,89.0,66.49908669738643
2020-02-25,91.0,81.73582533838973
2020-02-26,93.0,99.82604838268435
2020-02-27,93.0,121.17424669089868
2020-02-28,93.0,146.22008703868062
2020-02-29,102.0,175.4383254246094
2020-03-01,106.0,209.33827654369387
2020-03-02,108.0,248.462815008663
2020-03-03,110.0,293.38689100930605
2020-03-04,110.0,344.7155508010151
2020-03-05,117.0,403.0814605384183
2020-03-06,130.0,469.1419403392681
2020-03-07,138.0,543.5755238933654
2020-03-08,150.0,627.0780672372364
2020-03-09,150.0,720.3584383186349
2020-03-10,160.0,824.1338265065176
2020-03-11,178.0,939.1247181066233
2020-03-12,178.0,1066.0495900821647
2020-03-13,200.0,1205.6193794355693
2020-03-14,212.0,1358.5317899854817
2020-03-15,226.0,1525.4655015016885
2020-03-16,243.0,1707.0743482925604
2020-03-17,266.0,1903.9815353527642
2020-03-18,313.0,2116.7739600755726
2020-03-19,345.0,2345.9967063389117
2020-03-20,385.0,2592.147775533924
2020-03-21,432.0,2855.6731158849984
2020-03-22,455.0,3136.962007293243
2020-03-23,509.0,3436.3428540185214
2020-03-24,558.0,3754.0794319062643
2020-03-25,631.0,4090.3676306810967
2020-03-26,683.0,4445.332725192409
2020-03-27,732.0,4819.027202532061
2020-03-28,802.0,5211.429164776716
2020-03-29,844.0,5622.44131985955
