Date,Actual,Prediction
2020-02-20,13.0,0.0
2020-02-21,15.0,0.0
2020-02-22,15.0,0.00015411565866343653
2020-02-23,15.0,0.0035636060163504175
2020-02-24,51.0,0.032927519046165636
2020-02-25,51.0,0.18602227351672684
2020-02-26,57.0,0.7648593284192394
2020-02-27,58.0,2.5133930078798645
2020-02-28,60.0,6.989287544461742
2020-02-29,68.0,17.07916734613414
2020-03-01,74.0,37.64797512455258
2020-03-02,98.0,76.29500831715956
2020-03-03,118.0,144.1744775314619
2020-03-04,149.0,256.82856291542373
2020-03-05,217.0,434.97651030295447
2020-03-06,262.0,705.2041260741896
2020-03-07,402.0,1100.5033876153375
2020-03-08,518.0,1660.62076430476
2020-03-09,583.0,2432.1840934509796
2020-03-10,959.0,3468.590339877232
2020-03-11,1281.0,4829.649259433891
2020-03-12,1663.0,6580.99002689197
2020-03-13,2179.0,8793.248615914872
2020-03-14,2727.0,11541.062673655866
2020-03-15,3499.0,14901.907545608121
2020-03-16,4632.0,18954.811875592743
2020-03-17,6421.0,23778.993867796722
2020-03-18,7783.0,29452.45999695748
2020-03-19,13747.0,36050.60691106385
2020-03-20,19273.0,43644.864759955286
2020-03-21,25600.0,52301.416500068255
2020-03-22,33276.0,62080.02317273235
2020-03-23,43843.0,73032.9800227326
2020-03-24,53736.0,85204.22288482053
2020-03-25,65778.0,98628.59875749944
2020-03-26,83836.0,113331.30910944263
2020-03-27,101657.0,129327.52939054414
2020-03-28,121465.0,146622.2035756343
2020-03-29,140909.0,165210.00844729895
2020-03-30,161831.0,185075.47878508794
2020-03-31,188172.0,206193.28170250644
2020-04-01,213242.0,228528.6260661889
2020-04-02,243622.0,252037.7912283322
2020-04-03,275367.0,276668.75817193126
2020-04-04,308650.0,302361.92556406657
2020-04-05,336802.0,329050.89308196784
2020-04-06,366317.0,356663.2946606854
2020-04-07,397121.0,385121.6649479684
2020-04-08,428654.0,414344.3231790544
2020-04-09,462780.0,444246.25984069647
2020-04-10,496535.0,474740.0128221784
2020-04-11,526396.0,505736.5211978286
2020-04-12,555313.0,537145.9463021809
2020-04-13,580619.0,568878.4513025426
2020-04-14,607670.0,600844.932007187
2020-04-15,636350.0,632957.6931393368
2020-04-16,667592.0,665131.0657318886
2020-04-17,699706.0,697281.962635138
2020-04-18,732197.0,729330.3703642942
2020-04-19,758809.0,761199.7766345806
2020-04-20,784326.0,792817.5339325559
2020-04-21,811865.0,824115.1603497968
2020-04-22,840351.0,855028.5796592684
2020-04-23,869170.0,885498.3032480261
2020-04-24,905358.0,915469.5570369788
2020-04-25,938154.0,944892.3569255184
2020-04-26,965785.0,973721.5366034041
2020-04-27,988197.0,1001916.7317827324
2020-04-28,1012582.0,1029442.325028108
2020-04-29,1039909.0,1056267.355412456
2020-04-30,1069424.0,1082365.397208603
2020-05-01,1103461.0,1107714.411751915
2020-05-02,1132539.0,1132296.5764858034
2020-05-03,1158040.0,1156098.0950381598
2020-05-04,1180375.0,1179108.9919806777
2020-05-05,1204351.0,1201322.8957018647
2020-05-06,1229331.0,1222736.8125850027
2020-05-07,1257023.0,1243350.8954303423
2020-05-08,1283929.0,1263168.2088018353
2020-05-09,1309550.0,1282194.4937173284
2020-05-10,,1300437.9338414278
2020-05-11,,1317908.9250856212
2020-05-12,,1334619.850273598
2020-05-13,,1350584.8602932873
2020-05-14,,1365819.6629328676
2020-05-15,,1380341.3203871748
2020-05-16,,1394168.056224614
2020-05-17,,1407319.0724234225
2020-05-18,,1419814.3769203457
2020-05-19,,1431674.62196443
2020-05-20,,1442920.9534336058
2020-05-21,,1453574.87115166
2020-05-22,,1463658.1001375043
2020-05-23,,1473192.472626798
2020-05-24,,1482199.8206271196
2020-05-25,,1490701.8787013337
2020-05-26,,1498720.1966185928
2020-05-27,,1506276.0614677297
2020-05-28,,1513390.4287927805
2020-05-29,,1520083.862284065
2020-05-30,,1526376.4815397805
2020-05-31,,1532287.91740173
2020-06-01,,1537837.274363516
2020-06-02,,1543043.0995498751
2020-06-03,,1547923.3577706954
2020-06-04,,1552495.412162307
2020-06-05,,1556776.0099409749
2020-06-06,,1560781.2728087576
2020-06-07,,1564526.6915693176
2020-06-08,,1568027.1245305846
2020-06-09,,1571296.7992917777
2020-06-10,,1574349.3175338628
2020-06-11,,1577197.6624548028
2020-06-12,,1579854.2085134261
2020-06-13,,1582330.7331683778
2020-06-14,,1584638.4303210324
2020-06-15,,1586787.925193277
2020-06-16,,1588789.2903926536
2020-06-17,,1590652.0629381693
2020-06-18,,1592385.2620401948
2020-06-19,,1593997.4074471786
2020-06-20,,1595496.538190118
2020-06-21,,1596890.2315732155
2020-06-22,,1598185.6222754687
2020-06-23,,1599389.4214433127
2020-06-24,,1600507.9356688065
