,Actual,Prediction
2020-02-17,16.0,53.656020874636496
2020-02-18,16.0,64.09114571944549
2020-02-19,16.0,76.55474211529496
2020-02-20,16.0,91.44070777286893
2020-02-21,16.0,109.21925241177217
2020-02-22,16.0,130.45160668742108
2020-02-23,16.0,155.80753403291175
2020-02-24,16.0,186.0861657698755
2020-02-25,17.0,222.2407705196386
2020-02-26,27.0,265.40817282790744
2020-02-27,46.0,316.9436537276682
2020-02-28,48.0,378.4622978198569
2020-02-29,79.0,451.8878964365554
2020-03-01,130.0,539.5106720204866
2020-03-02,159.0,644.0552499568455
2020-03-03,196.0,768.7604619455223
2020-03-04,262.0,917.4727053796137
2020-03-05,482.0,1094.7546841058438
2020-03-06,670.0,1306.0113845055835
2020-03-07,799.0,1557.6350492286958
2020-03-08,1040.0,1857.1706312487408
2020-03-09,1176.0,2213.502649064397
2020-03-10,1457.0,2637.063392558081
2020-03-11,1908.0,3140.060880890601
2020-03-12,2745.0,3736.722636316335
2020-03-13,3675.0,4443.547952990714
2020-03-14,4585.0,5279.556614428096
2020-03-15,5795.0,6266.515647482296
2020-03-16,7272.0,7429.117448119445
2020-03-17,9257.0,8795.072388458713
2020-03-18,12327.0,10395.067060586247
2020-03-19,15320.0,12262.526456158073
2020-03-20,19848.0,14433.106351717532
2020-03-21,22213.0,16943.833957746858
2020-03-22,24873.0,19831.815019839818
2020-03-23,29056.0,23132.44007454036
2020-03-24,32986.0,26877.05837857208
2020-03-25,37323.0,31090.15129923972
2020-03-26,43938.0,35786.130149172415
2020-03-27,50871.0,40966.00138803872
2020-03-28,57695.0,46614.267995290305
2020-03-29,62095.0,52696.539480554224
2020-03-30,66885.0,59158.36433315979
2020-03-31,71808.0,65925.73836329875
2020-04-01,77872.0,72907.5587374761
2020-04-02,84794.0,80000.0
2020-04-03,91159.0,87092.4412625239
2020-04-04,96092.0,94074.26163670125
2020-04-05,100123.0,100841.6356668402
2020-04-06,103374.0,107303.46051944578
2020-04-07,107663.0,113385.7320047097
2020-04-08,113296.0,119033.99861196129
2020-04-09,118181.0,124213.86985082758
2020-04-10,122171.0,128909.8487007603
2020-04-11,126000.0,133122.94162142792
2020-04-12,,136867.55992545965
2020-04-13,,140168.1849801602
2020-04-14,,143056.16604225314
2020-04-15,,145566.89364828245
2020-04-16,,147737.47354384192
2020-04-17,,149604.93293941376
2020-04-18,,151204.9276115413
2020-04-19,,152570.88255188058
2020-04-20,,153733.4843525177
2020-04-21,,154720.4433855719
2020-04-22,,155556.45204700928
2020-04-23,,156263.27736368368
2020-04-24,,156859.9391191094
2020-04-25,,157362.93660744192
2020-04-26,,157786.4973509356
2020-04-27,,158142.82936875126
2020-04-28,,158442.3649507713
2020-04-29,,158693.98861549443
2020-04-30,,158905.24531589414
2020-05-01,,159082.52729462038
2020-05-02,,159231.23953805448
2020-05-03,,159355.94475004316
2020-05-04,,159460.4893279795
2020-05-05,,159548.11210356344
2020-05-06,,159621.53770218015
2020-05-07,,159683.05634627235
2020-05-08,,159734.5918271721
2020-05-09,,159777.75922948035
2020-05-10,,159813.91383423013
2020-05-11,,159844.1924659671
2020-05-12,,159869.54839331258
2020-05-13,,159890.78074758823
2020-05-14,,159908.55929222712
2020-05-15,,159923.4452578847
2020-05-16,,159935.90885428054
