,Actual,Prediction
2020-02-17,2.0,0.0
2020-02-18,2.0,0.0
2020-02-19,2.0,1.4469386185416619e-11
2020-02-20,2.0,6.880678382073912e-09
2020-02-21,2.0,4.898679635969712e-07
2020-02-22,2.0,1.2436309460731664e-05
2020-02-23,2.0,0.00016571158595004757
2020-02-24,2.0,0.0014182709450242467
2020-02-25,6.0,0.008777307760928063
2020-02-26,13.0,0.04237351690110515
2020-02-27,15.0,0.16804109097151476
2020-02-28,32.0,0.5680304816782406
2020-02-29,45.0,1.6821030415938691
2020-03-01,84.0,4.455792575514314
2020-03-02,120.0,10.731673320044823
2020-03-03,165.0,23.807649327695714
2020-03-04,222.0,49.16273010520716
2020-03-05,259.0,95.31797507830703
2020-03-06,400.0,174.7638167740903
2020-03-07,500.0,304.8521407467941
2020-03-08,673.0,508.5296412784287
2020-03-09,1073.0,814.7836570515867
2020-03-10,1695.0,1258.6854724310833
2020-03-11,2277.0,1880.9479935094644
2020-03-12,2277.0,2726.9606234527137
2020-03-13,5232.0,3845.317657818482
2020-03-14,6391.0,5285.910199689649
2020-03-15,7798.0,7097.698379268082
2020-03-16,9942.0,9326.314881486242
2020-03-17,11748.0,12011.668877144839
2020-03-18,13910.0,15185.720235893737
2020-03-19,17963.0,18870.57843702578
2020-03-20,20410.0,23077.051759307615
2020-03-21,25374.0,27803.734189033483
2020-03-22,28768.0,33036.674623990984
2020-03-23,35136.0,38749.62986310735
2020-03-24,42058.0,44904.86346312172
2020-03-25,49515.0,51454.419804581354
2020-03-26,57786.0,58341.77855457085
2020-03-27,65719.0,65503.77997573796
2020-03-28,73235.0,72872.70607377488
2020-03-29,80110.0,80378.4054842394
2020-03-30,87956.0,87950.3598140582
2020-03-31,95923.0,95519.60410374151
2020-04-01,104118.0,103020.43230079745
2020-04-02,112065.0,110391.838355493
2020-04-03,119199.0,117578.66320528011
2020-04-04,126168.0,124532.4362405179
2020-04-05,131646.0,131211.91591448354
2020-04-06,136675.0,137583.34738491432
2020-04-07,141942.0,143620.46517181382
2020-04-08,148220.0,149304.2757696801
2020-04-09,153222.0,154622.6591514308
2020-04-10,158273.0,159569.829483921
2020-04-11,163027.0,164145.6945706929
2020-04-12,167000.0,168355.15101827026
2020-04-13,,172207.34836123462
2020-04-14,,175714.9508223693
2020-04-15,,178893.4204203929
2020-04-16,,181760.34009889615
2020-04-17,,184334.79069704178
2020-04-18,,186636.79110825548
2020-04-19,,188686.80700715122
2020-04-20,,190505.33014122938
2020-04-21,,192112.52740994154
2020-04-22,,193527.95678018295
2020-04-23,,194770.3454774803
2020-04-24,,195857.42479067502
2020-04-25,,196805.8151681662
2020-04-26,,197630.95499418734
2020-04-27,,198347.06644247973
2020-04-28,,198967.15204396204
2020-04-29,,199503.0160124748
2020-04-30,,199965.30489384633
2020-05-01,,200363.56269208467
2020-05-02,,200706.2962445266
2020-05-03,,201001.04723534454
2020-05-04,,201254.467831354
2020-05-05,,201472.39747949148
2020-05-06,,201659.9389111034
2020-05-07,,201821.53184833456
2020-05-08,,201961.0233001293
2020-05-09,,202081.73367015528
2020-05-10,,202186.51817889596
2020-05-11,,202277.82333120113
2020-05-12,,202357.73834360047
2020-05-13,,202428.0415879699
2020-05-14,,202490.24221514186
2020-05-15,,202545.61719905806
2020-05-16,,202595.24409408768
