,Actual,Prediction
2020-02-23,12.0,0.0
2020-02-24,12.0,0.0
2020-02-25,14.0,4.856765054769294e-05
2020-02-26,18.0,0.0013198106378495952
2020-02-27,38.0,0.01341579839806979
2020-02-28,57.0,0.08066603901741633
2020-02-29,100.0,0.34615273683639414
2020-03-01,130.0,1.171506453212265
2020-03-02,191.0,3.3228892719589997
2020-03-03,204.0,8.221338799661778
2020-03-04,285.0,18.242407530274935
2020-03-05,377.0,37.03893768336296
2020-03-06,653.0,69.85390794790962
2020-03-07,949.0,123.78838147405156
2020-03-08,1126.0,207.99243477846306
2020-03-09,1209.0,333.7536039994761
2020-03-10,1784.0,514.4665319223782
2020-03-11,2281.0,765.477746475683
2020-03-12,2876.0,1103.809594576448
2020-03-13,3661.0,1547.7763004920284
2020-03-14,4469.0,2116.512235254748
2020-03-15,5423.0,2829.4374058424146
2020-03-16,6633.0,3705.6878085604353
2020-03-17,7652.0,4763.538768694984
2020-03-18,9043.0,6019.847992670691
2020-03-19,10871.0,7489.542169126408
2020-03-20,12612.0,9185.166992107455
2020-03-21,14282.0,11116.515861438795
2020-03-22,16018.0,13290.3476268725
2020-03-23,19856.0,15710.198913634675
2020-03-24,22304.0,18376.292061354216
2020-03-25,25233.0,21285.53572035964
2020-03-26,29155.0,24431.611806213426
2020-03-27,32964.0,27805.139881752526
2020-03-28,37575.0,31393.908130855183
2020-03-29,40174.0,35183.15888326943
2020-03-30,44550.0,39155.91608764992
2020-03-31,52128.0,43293.34213169674
2020-04-01,56989.0,47575.11188264549
2020-04-02,59105.0,51979.7926718436
2020-04-03,64338.0,56485.22007809583
2020-04-04,68605.0,61068.8606855641
2020-04-05,70478.0,65708.15442153148
2020-04-06,74390.0,70380.8305461681
2020-04-07,78167.0,75065.19281111105
2020-04-08,82048.0,79740.37067863382
2020-04-09,86334.0,84386.53476238933
2020-04-10,90676.0,88985.07578881606
2020-04-11,93790.0,93518.74736948997
2020-04-12,,97971.77371144197
2020-04-13,,102329.92407406447
2020-04-14,,106580.55631252665
2020-04-15,,110712.63223767102
2020-04-16,,114716.70778324213
2020-04-17,,118584.90111708362
2020-04-18,,122310.84187877765
2020-04-19,,125889.60468760632
2020-04-20,,129317.62995691862
2020-04-21,,132592.63488853307
2020-04-22,,135713.51731716777
2020-04-23,,138680.25484227308
2020-04-24,,141493.80143383754
2020-04-25,,144155.98343906863
2020-04-26,,146669.39665617424
2020-04-27,,149037.3058862324
2020-04-28,,151263.54812946433
2020-04-29,,153352.44036201166
2020-04-30,,155308.69261639658
2020-05-01,,157137.32689507093
2020-05-02,,158843.60227287567
2020-05-03,,160432.94639121296
2020-05-04,,161910.89341404545
2020-05-05,,163283.02840285582
2020-05-06,,164554.93797340686
2020-05-07,,165732.1670202961
2020-05-08,,166820.18123448256
2020-05-09,,167824.33509265337
2020-05-10,,168749.84496392155
2020-05-11,,169601.76695735392
2020-05-12,,170384.9791216798
2020-05-13,,171104.16760477613
2020-05-14,,171763.81638379954
2020-05-15,,172368.20018586417
2020-05-16,,172921.38023280425
2020-05-17,,173427.20246076662
2020-05-18,,173889.29788524093
2020-05-19,,174311.0848038398
2020-05-20,,174695.77255200341
2020-05-21,,175046.3665502243
2020-05-22,,175365.67440488323
2020-05-23,,175656.31284794206
2020-05-24,,175920.7153232396
2020-05-25,,176161.14004871424
2020-05-26,,176379.6784043595
2020-05-27,,176578.2635149464
2020-05-28,,176758.67891445453
2020-05-29,,176922.56719566928
2020-05-30,,177071.4385635276
