date,start,spread,duration,peak,curve,theta
2020-03-09,2020-02-27,10,35,2500,sigmoid,
2020-03-10,2020-02-27,10,42,3800,sigmoid,
2020-03-11,2020-02-27,10,41,3500,sigmoid,
2020-03-12,2020-02-27,10,38,2850,sigmoid,
2020-03-13,2020-02-27,10,40,3350,sigmoid,
2020-03-14,2020-02-27,16,64,59500,sigmoid,
2020-03-15,2020-02-27,16,62,69000,sigmoid,
2020-03-21,2020-02-26,16,79,120000,sigmoid,
2020-03-22,2020-02-26,16,79,115000,sigmoid,
2020-03-23,2020-02-26,16,79,112000,sigmoid,
2020-03-24,2020-02-26,16,79,114000,sigmoid,
2020-03-26,2020-02-26,16,80,117000,sigmoid,
2020-03-28,2020-02-26,16,81,129000,sigmoid,
2020-03-29,2020-02-26,16,84,154000,sigmoid,
2020-03-30,2020-02-26,16,80,118000,sigmoid,
2020-03-31,2020-02-26,16,84,147000,sigmoid,
2020-04-03,2020-02-26,16,80,112500,sigmoid,
2020-04-05,2020-02-26,16,83,129000,sigmoid,
2020-04-06,2020-02-26,16,83,129000,sigmoid,
2020-04-08,2020-02-26,16,87,154000,sigmoid,
2020-04-10,2020-02-26,16,94,211500,sigmoid,
2020-04-11,2020-02-23,16,100,180000,gamma,0.75
2020-04-14,2020-02-23,16,103,175000,gamma,0.75
2020-04-15,2020-02-21,16,108,185000,gamma,0.65
2020-04-16,2020-02-21,16,104,175000,gamma,0.65
