,Actual,Prediction
2020-02-26,13.0,0.0
2020-02-27,15.0,0.0
2020-02-28,20.0,3.190835818954675e-09
2020-02-29,23.0,4.4004258435674764e-07
2020-03-01,36.0,1.3510040719685844e-05
2020-03-02,40.0,0.0001848711052549653
2020-03-03,51.0,0.0015250564902795358
2020-03-04,85.0,0.008865008544835063
2020-03-05,115.0,0.03981764957198023
2020-03-06,163.0,0.14666231289785595
2020-03-07,206.0,0.4614762023732333
2020-03-08,273.0,1.2773466601269932
2020-03-09,321.0,3.1788518879526837
2020-03-10,382.0,7.232298713934682
2020-03-11,456.0,15.240242996715047
2020-03-12,590.0,30.0561678736602
2020-03-13,798.0,55.94509618537243
2020-03-14,1140.0,98.96598291444259
2020-03-15,1391.0,167.3436197522051
2020-03-16,1543.0,271.79284947042913
2020-03-17,1950.0,425.75698445602944
2020-03-18,2626.0,645.5256891866468
2020-03-19,3269.0,950.2048590766714
2020-03-20,3983.0,1361.5213563280934
2020-03-21,5018.0,1903.457672312236
2020-03-22,5683.0,2601.7243652552156
2020-03-23,6650.0,3483.090202406164
2020-03-24,8077.0,4574.600232212985
2020-03-25,9529.0,5902.719719774696
2020-03-26,11658.0,7492.44652165811
2020-03-27,14543.0,9366.435908550211
2020-03-28,17089.0,11544.180218085778
2020-03-29,19522.0,14041.28142674989
2020-03-30,22141.0,16868.848328080305
2020-03-31,25150.0,20033.042146974974
2020-04-01,29474.0,23534.78578330848
2020-04-02,33718.0,27369.64310434926
2020-04-03,38168.0,31527.866357647246
2020-04-04,41903.0,35994.60230852784
2020-04-05,47806.0,40750.241449781024
2020-04-06,51608.0,45770.88979007283
2020-04-07,55242.0,51028.9393879173
2020-04-08,60733.0,56493.711941881185
2020-04-09,65077.0,62132.149272875264
2020-04-10,73758.0,67909.5252758576
2020-04-11,78991.0,73790.15566960924
2020-04-12,,79738.0844065309
2020-04-13,,85717.72868761736
2020-04-14,,91694.4679387705
2020-04-15,,97635.16564185997
2020-04-16,,103508.6164036117
2020-04-17,,109285.91394556435
2020-04-18,,114940.73870031649
2020-04-19,,120449.56632698188
2020-04-20,,125791.80066621772
2020-04-21,,130949.83642307312
2020-04-22,,135909.05819734244
2020-04-23,,140657.7833971686
2020-04-24,,145187.1571068919
2020-04-25,,149491.0071784268
2020-04-26,,153565.66772615045
2020-04-27,,157409.77888004028
2020-04-28,,161024.07014187917
2020-04-29,,164411.13404353033
2020-04-30,,167575.1960693776
2020-05-01,,170521.8860167909
2020-05-02,,173258.0151630817
2020-05-03,,175791.36281319472
2020-05-04,,178130.47504193542
2020-05-05,,180284.47773499953
2020-05-06,,182262.90538661924
2020-05-07,,184075.5465360038
2020-05-08,,185732.3062238705
2020-05-09,,187243.0854250195
2020-05-10,,188617.67706131277
2020-05-11,,189865.67791785655
2020-05-12,,190996.41556849694
2020-05-13,,192018.88925877592
2020-05-14,,192941.72358860998
2020-05-15,,193773.13377621243
2020-05-16,,194520.90126234014
2020-05-17,,195192.3584231942
2020-05-18,,195794.38119505634
2020-05-19,,196333.38846831044
2020-05-20,,196815.34717780232
2020-05-21,,197245.78209604137
2020-05-22,,197629.78942169942
2020-05-23,,197972.05334494557
2020-05-24,,198276.86486071255
2020-05-25,,198548.14218884264
2020-05-26,,198789.45224455267
2020-05-27,,199004.03268253163
2020-05-28,,199194.81411235197
2020-05-29,,199364.44215119228
2020-05-30,,199515.29904179965
2020-05-31,,199649.52461911444
2020-06-01,,199769.0364580896
2020-06-02,,199875.54907820758
2020-06-03,,199970.5921173255
2020-06-04,,200055.52741916972
2020-06-05,,200131.56500546716
2020-06-06,,200199.7779258189
