,Actual,Prediction
2020-02-10,3.0,58.853947896866906
2020-02-11,3.0,69.52349582016899
2020-02-12,3.0,82.12640534858023
2020-02-13,3.0,97.01265078009172
2020-02-14,3.0,114.5954167404975
2020-02-15,3.0,135.3624589313977
2020-02-16,3.0,159.8894846173133
2020-02-17,3.0,188.85590315998343
2020-02-18,3.0,223.06335417077852
2020-02-19,3.0,263.457486057342
2020-02-20,3.0,311.1535313860211
2020-02-21,20.0,367.46630779815246
2020-02-22,62.0,433.9453639894029
2020-02-23,155.0,512.4160885648278
2020-02-24,229.0,605.0277034244059
2020-02-25,322.0,714.3091691397703
2020-02-26,453.0,843.2341316964955
2020-02-27,655.0,995.2961289115259
2020-02-28,888.0,1174.5953372119923
2020-02-29,1128.0,1385.9381555520083
2020-03-01,1694.0,1634.9508650592045
2020-03-02,2036.0,1928.2084316691032
2020-03-03,2502.0,2273.3791816371254
2020-03-04,3089.0,2679.385506005717
2020-03-05,3858.0,3156.5798483470685
2020-03-06,4636.0,3716.9338848643824
2020-03-07,5883.0,4374.236876568514
2020-03-08,7375.0,5144.296496863034
2020-03-09,9172.0,6045.1318394200625
2020-03-10,10149.0,7097.143625559568
2020-03-11,12462.0,8323.24074266297
2020-03-12,15113.0,9748.895157660867
2020-03-13,17660.0,11402.089182080545
2020-03-14,21157.0,13313.110593728243
2020-03-15,24747.0,15514.143349838756
2020-03-16,27980.0,18038.596372977685
2020-03-17,31506.0,20920.11281488163
2020-03-18,35713.0,24191.21079734622
2020-03-19,41035.0,27881.52790660061
2020-03-20,47021.0,32015.67942801554
2020-03-21,53578.0,36610.79654572089
2020-03-22,59138.0,41673.883974354896
2020-03-23,63927.0,47199.219450434146
2020-03-24,69176.0,53166.09566407103
2020-03-25,74386.0,59537.257281599086
2020-03-26,80589.0,66258.38737407452
2020-03-27,86498.0,73258.92876586376
2020-03-28,92472.0,80454.38019545162
2020-03-29,97689.0,87750.0
2020-03-30,101739.0,95045.61980454838
2020-03-31,105792.0,102241.07123413624
2020-04-01,110574.0,109241.61262592548
2020-04-02,115242.0,115962.74271840091
2020-04-03,119827.0,122333.90433592896
2020-04-04,124632.0,128300.78054956585
2020-04-05,128948.0,133826.11602564508
2020-04-06,132547.0,138889.2034542791
2020-04-07,135586.0,143484.32057198446
2020-04-08,139422.0,147618.4720933994
2020-04-09,143626.0,151308.78920265377
2020-04-10,147577.0,154579.88718511836
2020-04-11,150500.0,157461.40362702232
2020-04-12,,159985.85665016127
2020-04-13,,162186.88940627177
2020-04-14,,164097.91081791944
2020-04-15,,165751.10484233912
2020-04-16,,167176.75925733705
2020-04-17,,168402.85637444042
2020-04-18,,169454.8681605799
2020-04-19,,170355.70350313696
2020-04-20,,171125.7631234315
2020-04-21,,171783.06611513562
2020-04-22,,172343.4201516529
2020-04-23,,172820.61449399428
2020-04-24,,173226.62081836286
2020-04-25,,173571.7915683309
2020-04-26,,173865.04913494078
2020-04-27,,174114.061844448
2020-04-28,,174325.40466278803
2020-04-29,,174504.70387108845
2020-04-30,,174656.76586830348
2020-05-01,,174785.69083086023
2020-05-02,,174894.97229657558
2020-05-03,,174987.58391143518
2020-05-04,,175066.0546360106
2020-05-05,,175132.53369220186
2020-05-06,,175188.84646861398
2020-05-07,,175236.54251394267
2020-05-08,,175276.93664582924
2020-05-09,,175311.14409684
2020-05-10,,175340.1105153827
2020-05-11,,175364.6375410686
2020-05-12,,175385.4045832595
2020-05-13,,175402.9873492199
2020-05-14,,175417.87359465144
2020-05-15,,175430.47650417982
