,Actual,Prediction
2020-02-23,15.0,392.35965264577936
2020-02-24,51.0,463.4899721344599
2020-02-25,51.0,547.5093689905349
2020-02-26,57.0,646.7510052006114
2020-02-27,58.0,763.96944493665
2020-02-28,60.0,902.4163928759847
2020-02-29,68.0,1065.9298974487551
2020-03-01,74.0,1259.0393543998896
2020-03-02,98.0,1487.0890278051902
2020-03-03,118.0,1756.38324038228
2020-03-04,149.0,2074.356875906807
2020-03-05,217.0,2449.7753853210165
2020-03-06,262.0,2892.969093262686
2020-03-07,402.0,3416.1072570988517
2020-03-08,518.0,4033.518022829373
2020-03-09,583.0,4762.061127598469
2020-03-10,959.0,5621.560877976636
2020-03-11,1281.0,6635.307526076839
2020-03-12,1663.0,7830.635581413281
2020-03-13,2179.0,9239.587703680056
2020-03-14,2727.0,10899.67243372803
2020-03-15,3499.0,12854.722877794022
2020-03-16,4632.0,15155.861210914169
2020-03-17,6421.0,17862.570040038114
2020-03-18,7783.0,21043.865655647125
2020-03-19,13747.0,24779.559232429216
2020-03-20,19273.0,29161.579177123425
2020-03-21,25600.0,34295.309979086895
2020-03-22,33276.0,40300.878929467086
2020-03-23,43847.0,47314.29083706379
2020-03-24,53740.0,55488.27161775313
2020-03-25,65778.0,64992.63438440578
2020-03-26,83836.0,76013.92788053697
2020-03-27,101657.0,88754.07062485495
2020-03-28,121465.0,103427.62233225838
2020-03-29,140909.0,120257.30915318457
2020-03-30,161831.0,139467.41876587755
2020-03-31,188172.0,161274.7386489748
2020-04-01,213372.0,185876.85271067073
2020-04-02,243762.0,213437.86285343693
2020-04-03,275586.0,244071.97697147258
2020-04-04,308853.0,277825.893162366
2020-04-05,337072.0,314661.4630028943
2020-04-06,366667.0,354440.63776047353
2020-04-07,396223.0,396915.0485439939
2020-04-08,429052.0,441722.5824938301
2020-04-09,461437.0,488392.85843909177
2020-04-10,496535.0,536362.5346363442
2020-04-11,,585000.0
2020-04-12,,633637.4653636558
2020-04-13,,681607.1415609082
2020-04-14,,728277.4175061699
2020-04-15,,773084.9514560062
2020-04-16,,815559.3622395265
2020-04-17,,855338.5369971057
2020-04-18,,892174.1068376339
2020-04-19,,925928.0230285275
2020-04-20,,956562.137146563
2020-04-21,,984123.1472893293
2020-04-22,,1008725.2613510252
2020-04-23,,1030532.5812341224
2020-04-24,,1049742.6908468155
2020-04-25,,1066572.3776677416
2020-04-26,,1081245.9293751451
2020-04-27,,1093986.072119463
2020-04-28,,1105007.3656155942
2020-04-29,,1114511.728382247
2020-04-30,,1122685.709162936
2020-05-01,,1129699.1210705328
2020-05-02,,1135704.690020913
2020-05-03,,1140838.4208228767
2020-05-04,,1145220.4407675709
2020-05-05,,1148956.1343443529
2020-05-06,,1152137.429959962
2020-05-07,,1154844.1387890857
2020-05-08,,1157145.277122206
2020-05-09,,1159100.3275662719
2020-05-10,,1160760.41229632
2020-05-11,,1162169.364418587
2020-05-12,,1163364.692473923
2020-05-13,,1164378.4391220233
2020-05-14,,1165237.9388724016
2020-05-15,,1165966.4819771706
2020-05-16,,1166583.8927429013
2020-05-17,,1167107.0309067373
2020-05-18,,1167550.224614679
2020-05-19,,1167925.643124093
2020-05-20,,1168243.6167596178
2020-05-21,,1168512.9109721947
2020-05-22,,1168740.9606456
2020-05-23,,1168934.0701025513
2020-05-24,,1169097.583607124
2020-05-25,,1169236.0305550632
2020-05-26,,1169353.2489947996
2020-05-27,,1169452.4906310095
2020-05-28,,1169536.5100278654
